21,7,2,8月19日,0,8月29日,
6,9,0,8月17日,0,8月28日,
22,3,3,8月17日,0,8月27日,
25,11,1,8月17日,0,8月26日,
11,13,2,8月16日,0,8月25日,
7,5,1,8月16日,0,8月24日,
6,2,1,8月16日,0,8月23日,
9,16,0,8月14日,0,8月22日,
12,5,3,8月13日,0,8月21日,
748,224,5271,8月11日,0,8月20日,
17,17,1,8月11日,0,8月19日,
3,1,1,8月10日,0,8月18日,
9,9,0,8月9日,0,8月17日,
5,14,1,8月9日,0,8月16日,
6,3,1,8月9日,0,8月15日,
5,2,0,8月9日,0,8月14日,
6,6,2,8月7日,0,8月13日,
1815,555,1251,8月7日,0,8月12日,
15,4,0,8月7日,5271,8月11日,
1308,324,7354,8月4日,0,8月10日,
5,13,2,8月4日,0,8月9日,
32,110,64,8月3日,0,8月8日,
5,8,0,8月2日,1251,8月7日,
14,7,1,8月2日,0,8月6日,
2,10,1,8月2日,0,8月5日,
8,4,1,8月2日,7354,8月4日,
13,10,0,7月31日,0,8月3日,
82,262,670,7月31日,0,8月2日,
21,11,2,7月30日,0,8月1日,
15,13,2,7月27日,670,7月31日,
485,208,1075,7月26日,0,7月30日,
7,12,3,7月26日,0,7月29日,
2,6,1,7月26日,0,7月28日,
5,4,1,7月26日,0,7月27日,
7,2,1,7月25日,1075,7月26日,
5,10,0,7月23日,0,7月25日,
21,23,7,7月19日,0,7月24日,
11,5,1,7月19日,0,7月23日,
6,3,1,7月19日,0,7月22日,
15,25,9,7月19日,0,7月21日,
8,3,1,7月19日,0,7月20日,
2,1,0,7月19日,0,7月19日,
4,24,2,7月19日,0,7月18日,
2,3,2,7月19日,0,7月17日,
3,3,1,7月18日,0,7月16日,
6,9,1,7月18日,0,7月15日,
10,5,2,7月18日,0,7月14日,
10,0,0,7月16日,0,7月13日,
8,5,2,7月12日,0,7月12日,
7,33,1,7月12日,0,7月11日,
7,33,1,7月12日,0,7月10日,
8,0,0,7月12日,0,7月9日,
20,15,6,7月11日,0,7月8日,
8,6,1,7月11日,0,7月7日,
8,12,1,7月9日,0,7月6日,
27,65,29,7月7日,643,7月5日,
24,31,6,7月6日,0,7月4日,
27,22,5,7月6日,0,7月3日,
11,6,1,7月5日,0,7月2日,
7,7,0,7月5日,0,7月1日,
7,3,0,7月5日,0,6月30日,
6,9,0,7月5日,0,6月29日,
6,0,0,7月5日,1467,6月28日,
388,671,643,7月5日,0,6月27日,
8,10,1,7月3日,0,6月26日,
13,3,5,7月2日,0,6月25日,
