7,10,0,8月27日
8,22,22,8月26日
3,9,2,8月24日
2,5,0,8月24日
10,15,2,8月24日
13,16,1,8月24日
10,2,0,8月24日
6,8,0,8月23日
6,2,1,8月23日
5,2,0,8月23日
27,4,16,8月23日
5,8,1,8月22日
2,2,0,8月22日
6,0,0,8月22日
3,4,0,8月21日
5,44,2,8月21日
6,8,0,8月21日
4,10,0,8月20日
8,3,0,8月20日
14,3,11,8月20日
9,9,1,8月20日
6,3,0,8月17日
7,10,1,8月17日
5,7,2,8月17日
20,7,3,8月17日
6,7,0,8月16日
243,108,287,8月16日
15,8,0,8月16日
5,7,0,8月15日
8,5,1,8月15日
9,6,1,8月15日
6,18,1,8月14日
8,3,0,8月14日
7,12,4,8月13日
12,0,0,8月13日
8,7,0,8月10日
8,5,0,8月10日
12,20,1,8月10日
4,0,0,8月10日
8,2,0,8月10日
8,2,2,8月10日
11,10,0,8月9日
9,4,0,8月9日
15,6,0,8月9日
4,1,0,8月9日
5,13,1,8月8日
6,7,0,8月8日
5,9,1,8月8日
4,3,0,8月8日
11,4,0,8月7日
8,12,0,8月7日
6,6,1,8月7日
3,2,0,8月7日
5,1,0,8月6日
5,10,0,8月6日
5,5,0,8月6日
11,7,0,8月3日
4,5,0,8月3日
2,5,0,8月3日
10,0,0,8月3日
11,5,1,8月2日
39,22,20,8月2日
5,8,2,8月2日
11,0,1,8月2日
6,46,9,8月1日
11,12,0,8月1日
5,4,0,8月1日
7,2,0,8月1日
9,6,0,7月31日
6,3,3,7月31日
4,3,0,7月31日
9,20,1,7月30日
9,0,0,7月30日
11,1,2,7月30日
11,5,0,7月27日
10,4,4,7月27日
16,7,2,7月27日
9,1,2,7月27日
9,0,1,7月27日
13,2,6,7月26日
12,9,1,7月26日
6,3,1,7月26日
38,13,60,7月25日
10,17,3,7月25日
7,0,0,7月25日
3,3,0,7月24日
49,151,255,7月24日
4,0,0,7月24日
5,2,0,7月24日
8,3,0,7月24日
11,3,0,7月23日
15,33,6,7月23日
9,6,0,7月23日
6,6,0,7月23日
2,3,1,7月20日
1,3,0,7月20日
12,1,0,7月20日
14,3,23,7月20日
4,5,0,7月19日
6,1,0,7月19日
12,1,0,7月19日
10,20,3,7月18日
6,2,1,7月18日
10,21,1,7月18日
6,1,0,7月18日
28,132,116,7月17日
8,6,2,7月17日
2,14,0,7月17日
125,23,25,7月17日
6,12,1,7月16日
12,9,1,7月16日
19,5,3,7月16日
5,3,0,7月13日
4,4,1,7月13日
10,4,1,7月13日
7,2,0,7月13日
4,0,0,7月12日
5,0,0,7月12日
8,3,1,7月12日
8,4,9,7月12日
5,8,0,7月11日
2,1,0,7月11日
2,4,5,7月11日
7,2,1,7月11日
9,4,7,7月11日
9,1,4,7月10日
67,234,328,7月10日
12,1,0,7月10日
10,0,0,7月10日
12,6,1,7月9日
10,0,0,7月9日
12,1,1,7月9日
12,2,0,7月7日
9,2,0,7月6日
5,2,0,7月6日
7,0,0,7月6日
38,13,66,7月6日
5,6,0,7月5日
9,33,2,7月5日
6,1,1,7月4日
8,0,0,7月4日
4,3,1,7月4日
8,21,0,7月4日
11,7,3,7月3日
6,5,0,7月3日
9,18,3,7月3日
14,20,2,7月2日
4,4,0,7月2日
9,15,0,7月2日
8,17,2,6月29日
9,1,0,6月29日
4,3,2,6月29日
5,2,0,6月29日
8,3,0,6月29日
17,6,27,6月29日
9,7,0,6月28日
40,7,2,6月28日
14,39,1,6月28日
17,18,1,6月28日
6,9,1,6月27日
36,12,2,6月27日
15,25,5,6月27日
9,3,0,6月27日
6,4,1,6月26日
12,26,2,6月26日
9,2,0,6月21日
13,5,1,6月21日
8,3,0,6月20日
15,4,0,6月20日
13,1,1,6月20日
10,4,5,6月20日
7,4,1,6月19日
9,4,0,6月19日
11,27,1,6月19日
15,34,1,6月19日
19,24,1,6月21日
9,2,0,6月21日
13,5,1,6月21日
8,3,0,6月20日
15,4,0,6月20日
13,1,1,6月20日
10,4,5,6月20日
7,4,1,6月19日
9,4,0,6月19日
11,27,1,6月19日
15,34,1,6月19日
42,206,100,6月18日
38,65,5,6月18日
45,10,5,6月18日
7,0,1,6月17日
39,3,0,6月17日
24,8,8,6月16日
17,6,4,6月16日
13,0,0,6月15日
14,0,2,6月15日
19,8,1,6月15日
18,0,0,6月14日
110,149,5874,6月12日
35,13,31,6月12日
778,584,1558948,6月11日
41,23,9,6月11日
88,65,137,6月10日
43,32,45,6月9日
49,54,21,6月8日
19,42,11,6月8日
154,108,252,6月8日
13,17,0,6月7日
20,6,0,6月7日
2,2,1,6月7日
22,1,2,6月7日
18,0,0,6月7日
9,4,0,6月6日
12,3,1,6月6日
12,6,0,6月6日
13,5,0,6月6日
56,15,14,6月6日
14,8,0,6月5日
19,23,9,6月5日
15,7,1,6月5日
9,4,2,6月5日
11,17,2,6月4日
0,1,1,6月4日
0,2,0,6月4日
0,3,0,6月4日
32,15,3,6月4日
13,18,1,6月4日
21,9,1,6月4日
15,16,4,6月1日
5,7,2,6月1日
384,282,739,6月1日
276,71,633,6月1日
10,1,0,6月1日
44,66,66,6月1日
34,4,0,6月1日
10,14,2,5月31日
20,12,5,5月31日
297,44,50,5月31日
